year,estimate,system,type,CU,
1970,100,tachun,foot,MiddleYukonR.andtribs.,
1971,130,tachun,foot,MiddleYukonR.andtribs.,
1972,80,tachun,foot,MiddleYukonR.andtribs.,
1973,99,tachun,foot,MiddleYukonR.andtribs.,
1974,192,tachun,foot,MiddleYukonR.andtribs.,
1975,175,tachun,foot,MiddleYukonR.andtribs.,
1976,52,tachun,foot,MiddleYukonR.andtribs.,
1977,150,tachun,foot,MiddleYukonR.andtribs.,
1978,200,tachun,foot,MiddleYukonR.andtribs.,
1979,150,tachun,foot,MiddleYukonR.andtribs.,
1980,222,tachun,foot,MiddleYukonR.andtribs.,
1981,133,tachun,foot,MiddleYukonR.andtribs.,
1982,73,tachun,foot,MiddleYukonR.andtribs.,
1983,264,tachun,foot,MiddleYukonR.andtribs.,
1984,153,tachun,foot,MiddleYukonR.andtribs.,
1985,190,tachun,foot,MiddleYukonR.andtribs.,
1986,155,tachun,foot,MiddleYukonR.andtribs.,
1987,159,tachun,foot,MiddleYukonR.andtribs.,
1988,152,tachun,foot,MiddleYukonR.andtribs.,
1989,100,tachun,foot,MiddleYukonR.andtribs.,
1990,643,tachun,foot,MiddleYukonR.andtribs.,
1991,,tachun,foot,MiddleYukonR.andtribs.,
1992,106,tachun,foot,MiddleYukonR.andtribs.,
1993,183,tachun,foot,MiddleYukonR.andtribs.,
1994,477,tachun,foot,MiddleYukonR.andtribs.,
1995,397,tachun,foot,MiddleYukonR.andtribs.,
1996,423,tachun,foot,MiddleYukonR.andtribs.,
1997,1198,tachun,foot,MiddleYukonR.andtribs.,
1998,405,tachun,foot,MiddleYukonR.andtribs.,
1999,252,tachun,foot,MiddleYukonR.andtribs.,
2000,276,tachun,foot,MiddleYukonR.andtribs.,
2001,,tachun,foot,MiddleYukonR.andtribs.,
2002,,tachun,foot,MiddleYukonR.andtribs.,
2003,,tachun,foot,MiddleYukonR.andtribs.,
2004,,tachun,foot,MiddleYukonR.andtribs.,
2005,,tachun,foot,MiddleYukonR.andtribs.,
2006,,tachun,foot,MiddleYukonR.andtribs.,
2007,,tachun,foot,MiddleYukonR.andtribs.,
2008,,tachun,foot,MiddleYukonR.andtribs.,
2009,,tachun,foot,MiddleYukonR.andtribs.,
2010,,tachun,foot,MiddleYukonR.andtribs.,
2011,,tachun,foot,MiddleYukonR.andtribs.,
2012,,tachun,foot,MiddleYukonR.andtribs.,
2013,,tachun,foot,MiddleYukonR.andtribs.,
2014,,tachun,foot,MiddleYukonR.andtribs.,
2015,,tachun,foot,MiddleYukonR.andtribs.,
2016,,tachun,foot,MiddleYukonR.andtribs.,
2017,,tachun,foot,MiddleYukonR.andtribs.,
2018,,tachun,foot,MiddleYukonR.andtribs.,
2019,,tachun,foot,MiddleYukonR.andtribs.,
2020,,tachun,foot,MiddleYukonR.andtribs.,
2021,17,tachun,foot,MiddleYukonR.andtribs.,
2022,206,tachun,foot,MiddleYukonR.andtribs.,
2023,,tachun,foot,MiddleYukonR.andtribs.,
1961,1068,whitehorse,fishway,UpperYukonR.,
1962,1500,whitehorse,fishway,UpperYukonR.,
1963,483,whitehorse,fishway,UpperYukonR.,
1964,595,whitehorse,fishway,UpperYukonR.,
1965,903,whitehorse,fishway,UpperYukonR.,
1966,563,whitehorse,fishway,UpperYukonR.,
1967,533,whitehorse,fishway,UpperYukonR.,
1968,414,whitehorse,fishway,UpperYukonR.,
1969,334,whitehorse,fishway,UpperYukonR.,
1970,625,whitehorse,fishway,UpperYukonR.,
1971,856,whitehorse,fishway,UpperYukonR.,
1972,391,whitehorse,fishway,UpperYukonR.,
1973,224,whitehorse,fishway,UpperYukonR.,
1974,273,whitehorse,fishway,UpperYukonR.,
1975,313,whitehorse,fishway,UpperYukonR.,
1976,121,whitehorse,fishway,UpperYukonR.,
1977,277,whitehorse,fishway,UpperYukonR.,
1978,725,whitehorse,fishway,UpperYukonR.,
1979,1184,whitehorse,fishway,UpperYukonR.,
1980,1383,whitehorse,fishway,UpperYukonR.,
1981,1555,whitehorse,fishway,UpperYukonR.,
1982,473,whitehorse,fishway,UpperYukonR.,
1983,905,whitehorse,fishway,UpperYukonR.,
1984,1042,whitehorse,fishway,UpperYukonR.,
1985,508,whitehorse,fishway,UpperYukonR.,
1986,557,whitehorse,fishway,UpperYukonR.,
1987,327,whitehorse,fishway,UpperYukonR.,
1988,340,whitehorse,fishway,UpperYukonR.,
1989,445,whitehorse,fishway,UpperYukonR.,
1990,1069,whitehorse,fishway,UpperYukonR.,
1991,620,whitehorse,fishway,UpperYukonR.,
1992,121,whitehorse,fishway,UpperYukonR.,
1993,180,whitehorse,fishway,UpperYukonR.,
1994,725,whitehorse,fishway,UpperYukonR.,
1995,904,whitehorse,fishway,UpperYukonR.,
1996,1923,whitehorse,fishway,UpperYukonR.,
1997,1584,whitehorse,fishway,UpperYukonR.,
1998,39,whitehorse,fishway,UpperYukonR.,
1999,291,whitehorse,fishway,UpperYukonR.,
2000,210,whitehorse,fishway,UpperYukonR.,
2001,632,whitehorse,fishway,UpperYukonR.,
2002,369,whitehorse,fishway,UpperYukonR.,
2003,433,whitehorse,fishway,UpperYukonR.,
2004,477,whitehorse,fishway,UpperYukonR.,
2005,1132,whitehorse,fishway,UpperYukonR.,
2006,912,whitehorse,fishway,UpperYukonR.,
2007,188,whitehorse,fishway,UpperYukonR.,
2008,184,whitehorse,fishway,UpperYukonR.,
2009,439,whitehorse,fishway,UpperYukonR.,
2010,343,whitehorse,fishway,UpperYukonR.,
2011,798,whitehorse,fishway,UpperYukonR.,
2012,422,whitehorse,fishway,UpperYukonR.,
2013,376,whitehorse,fishway,UpperYukonR.,
2014,352,whitehorse,fishway,UpperYukonR.,
2015,586,whitehorse,fishway,UpperYukonR.,
2016,902,whitehorse,fishway,UpperYukonR.,
2017,748,whitehorse,fishway,UpperYukonR.,
2018,435,whitehorse,fishway,UpperYukonR.,
2019,245,whitehorse,fishway,UpperYukonR.,
2020,164,whitehorse,fishway,UpperYukonR.,
2021,175,whitehorse,fishway,UpperYukonR.,
2022,99,whitehorse,fishway,UpperYukonR.,
2023,80,whitehorse,fishway,UpperYukonR.,
1995,826,blindcreek,weir,Pelly,
1996,,blindcreek,weir,Pelly,
1997,957,blindcreek,weir,Pelly,
1998,373,blindcreek,weir,Pelly,
1999,892,blindcreek,weir,Pelly,
2000,,blindcreek,weir,Pelly,
2001,,blindcreek,weir,Pelly,
2002,,blindcreek,weir,Pelly,
2003,1155,blindcreek,weir,Pelly,
2004,792,blindcreek,weir,Pelly,
2005,525,blindcreek,weir,Pelly,
2006,677,blindcreek,weir,Pelly,
2007,304,blindcreek,weir,Pelly,
2008,276,blindcreek,weir,Pelly,
2009,716,blindcreek,weir,Pelly,
2010,270,blindcreek,weir,Pelly,
2011,360,blindcreek,weir,Pelly,
2012,157,blindcreek,weir,Pelly,
2013,312,blindcreek,weir,Pelly,
2014,602,blindcreek,weir,Pelly,
2015,964,blindcreek,weir,Pelly,
2016,664,blindcreek,weir,Pelly,
2017,,blindcreek,weir,Pelly,
2018,612,blindcreek,weir,Pelly,
2016,5807,pelly,sonar,Pelly,
2017,9081,pelly,sonar,Pelly,
2018,9751,pelly,sonar,Pelly,
2019,6927,pelly,sonar,Pelly,
2020,5678,pelly,sonar,Pelly,
2021,4980,pelly,sonar,Pelly,
2022,,pelly,sonar,Pelly,
2023,1696,pelly,sonar,Pelly,
2005,5618,bigsalmon,sonar,BigSalmonR,
2006,7308,bigsalmon,sonar,BigSalmonR,
2007,4506,bigsalmon,sonar,BigSalmonR,
2008,1329,bigsalmon,sonar,BigSalmonR,
2009,9261,bigsalmon,sonar,BigSalmonR,
2010,3817,bigsalmon,sonar,BigSalmonR,
2011,5156,bigsalmon,sonar,BigSalmonR,
2012,2584,bigsalmon,sonar,BigSalmonR,
2013,3242,bigsalmon,sonar,BigSalmonR,
2014,6321,bigsalmon,sonar,BigSalmonR,
2015,10078,bigsalmon,sonar,BigSalmonR,
2016,6761,bigsalmon,sonar,BigSalmonR,
2017,5672,bigsalmon,sonar,BigSalmonR,
2018,5159,bigsalmon,sonar,BigSalmonR,
2019,3874,bigsalmon,sonar,BigSalmonR,
2020,1635,bigsalmon,sonar,BigSalmonR,
2021,1958,bigsalmon,sonar,BigSalmonR,
2022,,bigsalmon,sonar,BigSalmonR,
2023,1795,bigsalmon,sonar,BigSalmonR,
2009,5147,klondike,sonar,NorthernYukonR.andtribs.,
2010,803,klondike,sonar,NorthernYukonR.andtribs.,
2011,1181,klondike,sonar,NorthernYukonR.andtribs.,
2012,,klondike,sonar,NorthernYukonR.andtribs.,
2013,,klondike,sonar,NorthernYukonR.andtribs.,
2014,,klondike,sonar,NorthernYukonR.andtribs.,
2015,,klondike,sonar,NorthernYukonR.andtribs.,
2016,,klondike,sonar,NorthernYukonR.andtribs.,
2017,,klondike,sonar,NorthernYukonR.andtribs.,
2018,,klondike,sonar,NorthernYukonR.andtribs.,
2019,,klondike,sonar,NorthernYukonR.andtribs.,
2020,470,klondike,sonar,NorthernYukonR.andtribs.,
2021,855,klondike,sonar,NorthernYukonR.andtribs.,
2022,253,klondike,sonar,NorthernYukonR.andtribs.,
2023,280,klondike,sonar,NorthernYukonR.andtribs.,
2012,3454,teslin,sonar,YukonR.Teslinheadwaters,
2012,9916,teslin,sonar,YukonR.Teslinheadwaters,
2012,17507,teslin,sonar,YukonR.Teslinheadwaters,
2012,20463,teslin,sonar,YukonR.Teslinheadwaters,
2014,3066,porcupine,sonar,Porcupine,
2015,4851,porcupine,sonar,Porcupine,
2016,6665,porcupine,sonar,Porcupine,
2017,1191,porcupine,sonar,Porcupine,
2018,3414,porcupine,sonar,Porcupine,
2019,4740,porcupine,sonar,Porcupine,
2020,,porcupine,sonar,Porcupine,
2021,409,porcupine,sonar,Porcupine,
2022,349,porcupine,sonar,Porcupine,
2023,512,porcupine,sonar,Porcupine,
2017,1872,takhihi,sonar,UpperYukonR.,
2018,1554,takhihi,sonar,UpperYukonR.,
2019,,takhihi,sonar,UpperYukonR.,
2020,,takhihi,sonar,UpperYukonR.,
2021,247,takhihi,sonar,UpperYukonR.,
2022,476,takhihi,sonar,UpperYukonR.,
2023,355,takhihi,sonar,UpperYukonR.,
